Pick,Round,Player,Team,ADP,StdDev,High,Low,Times,
30,3.08,Kerryon Johnson,RB,DET,28.5,3.2,2.04,4.02,131
31,3.09,David Montgomery,RB,CHI,29.1,3.3,2.05,3.12,103
32,4.01,George Kittle,TE,SF,31.1,5,1.11,4.07,100
33,4.02,Devonta Freeman,RB,ATL,31.7,3.6,2.09,4.03,164
34,4.04,Sony Michel,RB,NE,33.8,3,2.12,4.08,153
35,4.04,Amari Cooper,WR,DAL,33.9,4.4,2.09,4.08,134
36,4.05,Derrick Henry,RB,TEN,35.4,5,2.04,4.12,124
37,4.07,Stefon Diggs,WR,MIN,36.6,3.9,3.01,4.09,109
38,4.07,Zach Ertz,TE,PHI,37.3,4.5,2.11,4.12,105
39,4.07,Mark Ingram,RB,BAL,37.5,3.5,2.11,4.12,117
40,4.09,Brandin Cooks,WR,LAR,38.9,3.9,3.01,4.11,115
41,4.1,Melvin Gordon,RB,LAC,40.3,5.6,2.11,5.02,60
42,5.02,Marlon Mack,RB,IND,41.5,4.2,3.03,5.05,134
43,5.02,Deshaun Watson,QB,HOU,41.7,7.3,2.11,5.06,65
44,5.03,Tyler Lockett,WR,SEA,42.5,3.1,3.09,5.02,119
45,5.03,Chris Godwin,WR,TB,43.3,4,3.08,5.06,76
46,5.04,Robert Woods,WR,LAR,44,3.5,3.08,5.03,100
47,5.06,Julian Edelman,WR,NE,46,4.8,3.01,5.11,116
48,5.07,Phillip Lindsay,RB,DEN,47.1,5.6,3.08,6.03,113
49,5.09,Tevin Coleman,RB,SF,48.7,5.4,3.12,6.07,106
50,5.09,Cooper Kupp,WR,LAR,49.1,4.4,4.01,5.1,76
51,5.09,Miles Sanders,RB,PHI,49.5,5.5,4.01,5.12,80
52,5.1,Josh Gordon,WR,SEA,50.4,4.6,4.01,6.02,97
53,6.02,T.Y. Hilton,WR,IND,52,4.2,4.07,6.06,125
54,6.02,Aaron Rodgers,QB,GB,52.2,5,4.03,6.01,86
55,6.03,Kenny Golladay,WR,DET,53,5.4,4.05,6.08,137
56,6.04,O.J. Howard,TE,TB,54.1,5.9,3.12,6.05,62
57,6.05,Mike Williams,WR,LAC,54.9,4.3,4.01,6.05,96
58,6.06,Austin Ekeler,RB,LAC,55.7,7.3,3.12,6.11,169
59,6.07,Duke Johnson,RB,HOU,57.1,5.5,4.03,7.01,126
60,6.09,Baker Mayfield,QB,CLE,58.5,9.5,1.06,6.11,75
61,6.09,Calvin Ridley,WR,ATL,59.1,4.8,4.12,6.09,108
62,6.1,Evan Engram,TE,NYG,60,7.8,2.12,6.11,72
64,7.02,Tyler Boyd,WR,CIN,62.2,6,4.06,7.12,100
65,7.02,Matt Ryan,QB,ATL,62.4,5.6,5.01,7.05,55
66,7.03,Derrius Guice,RB,WAS,63.3,5.6,4.11,7.08,143
67,7.04,Hunter Henry,TE,LAC,63.9,5.7,4.08,7.01,74
68,7.07,James White,RB,NE,66.6,8.5,3.11,7.1,95
69,7.07,Dede Westbrook,WR,JAX,67.1,5.5,4.09,7.11,132
70,7.09,Drew Brees,QB,NO,69.3,13.9,1.01,7.11,55
71,7.1,D.J. Moore,WR,CAR,69.6,5.8,5.01,7.1,95
72,7.1,Carson Wentz,QB,PHI,69.9,6.7,4.12,8.04,71
73,8.01,Latavius Murray,RB,NO,70.6,6.7,5.05,8.03,116
74,8.01,Alshon Jeffery,WR,PHI,70.9,6.9,4.12,8.04,99
75,8.03,Jared Cook,TE,NO,72.9,4.5,6.04,7.11,53
76,8.04,Robby Anderson,WR,NYJ,73.6,6.1,5.05,8.04,69
77,8.05,Allen Robinson,WR,CHI,75.2,6.2,6.03,8.08,92
78,8.06,Jarvis Landry,WR,CLE,76.3,7.4,4.11,8.08,91
79,8.08,Vance McDonald,TE,PIT,77.8,6.4,6.02,9.02,56
80,8.08,Tony Pollard,RB,DAL,78,7.8,5.12,8.09,60
81,8.09,Kenyan Drake,RB,ARI,78.5,6.8,6.01,8.09,102
82,8.1,Darwin Thompson,RB,KC,79.5,7.2,6.08,8.1,29
83,8.1,Jared Goff,QB,LAR,80.3,5.9,6.05,8.11,81
84,8.1,Will Fuller,WR,HOU,80.4,6.6,5.11,9.07,101
85,9.02,Matt Breida,RB,SF,82.3,7,6.02,9.03,154
86,9.04,David Njoku,TE,CLE,83.8,7.9,6.09,9.05,37
87,9.04,Tarik Cohen,RB,CHI,84.1,9.9,5.07,9.05,89
88,9.06,Emmanuel Sanders,WR,SF,86,7.1,4.11,9.03,118
89,9.06,Devin Singletary,RB,BUF,86.4,12.8,4.12,9.1,192
90,9.07,Russell Wilson,QB,SEA,86.6,8,7.01,9.1,40
91,9.08,Lamar Jackson,QB,BAL,88.2,12.3,4.02,10.02,61
92,9.09,Curtis Samuel,WR,CAR,88.8,7.5,6.02,9.1,100
93,9.09,Chicago Defense,DEF,CHI,88.9,11.7,2.11,9.05,86
94,10.01,LeSean McCoy,RB,KC,90.9,13.1,2.06,9.12,127
95,10.01,Sammy Watkins,WR,KC,91.1,6.8,6.12,9.09,67
96,10.02,Christian Kirk,WR,ARI,91.6,7.9,5.11,9.1,85
97,10.02,Rashaad Penny,RB,SEA,91.9,7.5,5.12,9.07,58
98,10.03,Darrell Henderson,RB,LAR,92.6,6.7,6.12,9.07,49
99,10.08,Cam Newton,QB,CAR,97.8,8.5,7.02,10.07,98
100,10.09,Marvin Jones,WR,DET,98.6,6.1,7.1,9.12,65
101,10.09,Delanie Walker,TE,TEN,98.7,14,7.06,11.12,46
102,10.09,Jordan Howard,RB,PHI,98.8,9.2,6.03,10.02,42
103,10.09,Sterling Shepard,WR,NYG,99,10.2,6.01,10.05,80
104,11.02,Kareem Hunt,RB,CLE,102.2,9.7,6.09,10.09,42
105,11.03,James Washington,WR,PIT,102.5,9,7.01,10.08,73
106,11.03,Marquez Valdes-Scantling,WR,GB,102.6,6.7,7.08,10.07,110
107,11.03,Kyler Murray,QB,ARI,102.9,8.6,7.08,10.12,67
108,11.04,Philip Rivers,QB,LAC,104.3,10.2,7.07,11.04,75
109,11.05,Jameis Winston,QB,TB,104.8,9.2,7.04,10.11,80
110,11.05,LA Rams Defense,DEF,LAR,105.4,5.7,8.1,10.08,63
111,11.08,Royce Freeman,RB,DEN,108.4,8.6,7.09,11.1,54
112,11.08,Corey Davis,WR,TEN,108.5,8.3,7.02,11.03,73
